path,tagname
@imxVersion,@imxVersion
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.@name,@name
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Location.GeographicLocation.gml:Point.@srsName,@srsName
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Location.GeographicLocation.@azimuth,@azimuth
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Location.GeographicLocation.@accuracy,@accuracy
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Location.KmRibbonLocation.@value,@value
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@isInService,@isInService
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@localID,@localID
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@registrationTime,@registrationTime
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@sourceDataOwner,@sourceDataOwner
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@originType,@originType
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@lifeCycleStatus,@lifeCycleStatus
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@objectEndTime,@objectEndTime
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@source,@source
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@relativeElevation,@relativeElevation
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.Metadata.@objectBeginTime,@objectBeginTime
Project.InitialSituation.Furniture.InstallationCabinets.InstallationCabinet.@puic,@puic
Project.InitialSituation.Furniture.WildlifeGuards.WildlifeGuard.@name,@name
Project.InitialSituation.Furniture.WildlifeGuards.WildlifeGuard.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Project.InitialSituation.Furniture.WildlifeGuards.WildlifeGuard.Location.GeographicLocation.gml:Point.@srsName,@srsName
